#Emily and Ryan recorded rice in jar rolling down inclined plane
#fill level	recording	100
0	1.9
1	2.44
2	2.68
4	6.6
5.5	inf
9	inf
12	2.3
15	1.82
14	2.26
10.5	3.4
7	inf
6	inf
4.5	inf
3.5	4.86
2.5	3.05
1.5	2.17
9.5	inf
11	2.6
10	3.48
9.75	4.66
9.75	4.5
0.5	1.84
0.5	2.06
